250,0.3 , 61.4870400429,507
Average time : 250,0.3 , 20.4956800143
260,0.3 , 118.85293889,0
260,0.3 , 179.777615786,523
260,0.3 , 179.801734924,0
Average time : 260,0.3 , 59.9339116414
270,0.3 , 105.996675968,0
270,0.3 , 176.069619894,539
270,0.3 , 247.641183853,553
Average time : 270,0.3 , 82.5470612844
100,0.4 , 0.00386905670166,0
100,0.4 , 0.00752305984497,0
100,0.4 , 0.353038072586,0
Average time : 100,0.4 , 0.117679357529
110,0.4 , 0.004558801651,0
110,0.4 , 0.00892972946167,0
110,0.4 , 0.0138096809387,0
Average time : 110,0.4 , 0.00460322697957
120,0.4 , 0.00778698921204,0
120,0.4 , 0.0136649608612,0
120,0.4 , 1.42474985123,0
Average time : 120,0.4 , 0.474916617076
130,0.4 , 0.00867819786072,0
130,0.4 , 0.0147092342377,0
130,0.4 , 1.02630114555,0
Average time : 130,0.4 , 0.342100381851
140,0.4 , 1.82176613808,0
140,0.4 , 3.11931920052,351
140,0.4 , 3.12647724152,0
Average time : 140,0.4 , 1.04215908051
150,0.4 , 0.00841999053955,0
150,0.4 , 1.35969805717,0
150,0.4 , 1.36925792694,0
Average time : 150,0.4 , 0.45641930898
160,0.4 , 0.00957894325256,0
160,0.4 , 0.0217018127441,0
160,0.4 , 0.0312628746033,0
Average time : 160,0.4 , 0.0104209582011
170,0.4 , 0.0986380577087,0
170,0.4 , 0.109163999557,0
170,0.4 , 0.119464874268,0
Average time : 170,0.4 , 0.0398216247559
180,0.4 , 5.55032205582,0
180,0.4 , 5.5617389679,0
180,0.4 , 5.5731139183,0
Average time : 180,0.4 , 1.85770463943
190,0.4 , 0.0127918720245,0
190,0.4 , 0.0253958702087,0
190,0.4 , 0.0379829406738,0
Average time : 190,0.4 , 0.0126609802246
200,0.4 , 0.029550075531,0
200,0.4 , 0.0795850753784,0
200,0.4 , 0.0937280654907,0
Average time : 200,0.4 , 0.0312426884969
210,0.4 , 0.0155920982361,0
210,0.4 , 0.0310680866241,0
210,0.4 , 0.0472040176392,0
Average time : 210,0.4 , 0.0157346725464
220,0.4 , 0.0170519351959,0
220,0.4 , 15.3773739338,0
220,0.4 , 24.9209909439,0
Average time : 220,0.4 , 8.3069969813
230,0.4 , 16.611686945,0
230,0.4 , 16.6319909096,0
230,0.4 , 16.6529998779,0
Average time : 230,0.4 , 5.55099995931
240,0.4 , 0.022166967392,0
240,0.4 , 0.0441689491272,0
240,0.4 , 0.0660409927368,0
Average time : 240,0.4 , 0.0220136642456
250,0.4 , 0.0217690467834,0
250,0.4 , 0.0435588359833,0
250,0.4 , 0.0681118965149,0
Average time : 250,0.4 , 0.022703965505
260,0.4 , 0.0239760875702,0
260,0.4 , 0.0480229854584,0
260,0.4 , 0.071583032608,0
Average time : 260,0.4 , 0.0238610108693
270,0.4 , 27.855809927,0
270,0.4 , 37.2428278923,0
270,0.4 , 37.2683639526,0
Average time : 270,0.4 , 12.4227879842
280,0.4 , 0.0275390148163,0
280,0.4 , 0.0567569732666,0
280,0.4 , 0.0849869251251,0
Average time : 280,0.4 , 0.0283289750417
290,0.4 , 0.0312700271606,0
290,0.4 , 51.1956989765,0
290,0.4 , 51.2274229527,0
Average time : 290,0.4 , 17.0758076509
300,0.4 , 48.5731129646,0
300,0.4 , 48.6046788692,0
300,0.4 , 48.8162586689,0
Average time : 300,0.4 , 16.272086223
310,0.4 , 0.0355410575867,0
310,0.4 , 0.0695421695709,0
310,0.4 , 66.7926161289,0
Average time : 310,0.4 , 22.2642053763
320,0.4 , 82.1425070763,0
320,0.4 , 82.1803600788,0
320,0.4 , 82.2210481167,0
Average time : 320,0.4 , 27.4070160389
330,0.4 , 0.0405850410461,0
330,0.4 , 49.9458830357,0
330,0.4 , 49.9946320057,0
Average time : 330,0.4 , 16.6648773352
340,0.4 , 0.0438549518585,0
340,0.4 , 0.0880000591278,0
340,0.4 , 0.1318359375,0
Average time : 340,0.4 , 0.0439453125
350,0.4 , 0.0528810024261,0
350,0.4 , 0.156517028809,0
350,0.4 , 0.2040579319,0
Average time : 350,0.4 , 0.0680193106333
360,0.4 , 0.0493121147156,0
360,0.4 , 0.100003242493,0
360,0.4 , 0.149817228317,0
Average time : 360,0.4 , 0.0499390761058
370,0.4 , 0.0553350448608,0
370,0.4 , 0.108765125275,0
370,0.4 , 0.160890102386,0
Average time : 370,0.4 , 0.0536300341288
380,0.4 , 0.0549070835114,0
380,0.4 , 0.111195087433,0
380,0.4 , 0.166773080826,0
Average time : 380,0.4 , 0.0555910269419
390,0.4 , 0.0595369338989,0
390,0.4 , 0.11656999588,0
390,0.4 , 0.174176931381,0
Average time : 390,0.4 , 0.0580589771271
400,0.4 , 0.0600872039795,0
400,0.4 , 0.121048212051,0
400,0.4 , 0.182012319565,0
Average time : 400,0.4 , 0.0606707731883
410,0.4 , 0.0638201236725,0
410,0.4 , 0.127006292343,0
410,0.4 , 0.191367387772,0
Average time : 410,0.4 , 0.0637891292572
420,0.4 , 0.0681359767914,0
420,0.4 , 0.139964103699,0
420,0.4 , 0.211796045303,0
Average time : 420,0.4 , 0.0705986817678
430,0.4 , 0.0743842124939,0
430,0.4 , 0.145448207855,0
430,0.4 , 0.217635154724,0
Average time : 430,0.4 , 0.0725450515747
440,0.4 , 0.0762600898743,0
440,0.4 , 0.153912067413,0
440,0.4 , 471.398492098,0
Average time : 440,0.4 , 157.132830699
100,0.5 , 0.00370693206787,0
100,0.5 , 0.00726985931396,0
100,0.5 , 0.0109248161316,0
Average time : 100,0.5 , 0.0036416053772
110,0.5 , 0.00432395935059,0
110,0.5 , 0.00861406326294,0
110,0.5 , 0.0130591392517,0
Average time : 110,0.5 , 0.00435304641724
120,0.5 , 0.00501585006714,0
120,0.5 , 0.0102977752686,0
120,0.5 , 0.0153057575226,0
Average time : 120,0.5 , 0.00510191917419
130,0.5 , 0.00603795051575,0
130,0.5 , 0.0119729042053,0
130,0.5 , 0.0180339813232,0
Average time : 130,0.5 , 0.00601132710775
140,0.5 , 0.00683689117432,0
140,0.5 , 0.014016866684,0
140,0.5 , 0.0208389759064,0
Average time : 140,0.5 , 0.00694632530212
150,0.5 , 0.00804090499878,0
150,0.5 , 0.0161197185516,0
150,0.5 , 0.0239586830139,0
Average time : 150,0.5 , 0.00798622767131
160,0.5 , 0.00903797149658,0
160,0.5 , 0.0181939601898,0
160,0.5 , 0.0280389785767,0
Average time : 160,0.5 , 0.00934632619222
170,0.5 , 0.0102639198303,0
170,0.5 , 0.0206828117371,0
170,0.5 , 0.0308918952942,0
Average time : 170,0.5 , 0.0102972984314
180,0.5 , 0.0116188526154,0
180,0.5 , 0.0230917930603,0
180,0.5 , 0.0346586704254,0
Average time : 180,0.5 , 0.0115528901418
190,0.5 , 0.0127170085907,0
190,0.5 , 0.0268490314484,0
190,0.5 , 0.0408220291138,0
Average time : 190,0.5 , 0.0136073430379
200,0.5 , 0.0155589580536,0
200,0.5 , 0.0305299758911,0
200,0.5 , 0.0446379184723,0
Average time : 200,0.5 , 0.0148793061574
210,0.5 , 0.0155611038208,0
210,0.5 , 0.0333321094513,0
210,0.5 , 0.0507442951202,0
Average time : 210,0.5 , 0.0169147650401
220,0.5 , 0.0174329280853,0
220,0.5 , 0.0345039367676,0
220,0.5 , 0.0515470504761,0
Average time : 220,0.5 , 0.0171823501587
230,0.5 , 0.0185558795929,0
230,0.5 , 0.0372738838196,0
230,0.5 , 0.0557947158813,0
Average time : 230,0.5 , 0.0185982386271
240,0.5 , 0.0203847885132,0
240,0.5 , 0.040647983551,0
240,0.5 , 0.0608789920807,0
Average time : 240,0.5 , 0.0202929973602
250,0.5 , 0.0219438076019,0
250,0.5 , 0.0438706874847,0
250,0.5 , 0.0657525062561,0
Average time : 250,0.5 , 0.0219175020854
260,0.5 , 0.0237879753113,0
260,0.5 , 0.0473408699036,0
260,0.5 , 0.0709857940674,0
Average time : 260,0.5 , 0.0236619313558
270,0.5 , 0.025848865509,0
270,0.5 , 0.0515348911285,0
270,0.5 , 0.0777978897095,0
Average time : 270,0.5 , 0.0259326299032
280,0.5 , 0.0276758670807,0
280,0.5 , 0.0551807880402,0
280,0.5 , 0.0828237533569,0
Average time : 280,0.5 , 0.0276079177856
290,0.5 , 0.0300061702728,0
290,0.5 , 0.0601201057434,0
290,0.5 , 0.0898690223694,0
Average time : 290,0.5 , 0.0299563407898
300,0.5 , 0.0340919494629,0
300,0.5 , 0.0661590099335,0
300,0.5 , 0.0980818271637,0
Average time : 300,0.5 , 0.0326939423879
310,0.5 , 0.0338079929352,0
310,0.5 , 0.068009853363,0
310,0.5 , 0.102104663849,0
Average time : 310,0.5 , 0.0340348879496
320,0.5 , 0.0360519886017,0
320,0.5 , 0.0724530220032,0
320,0.5 , 0.1088950634,0
Average time : 320,0.5 , 0.0362983544668
330,0.5 , 0.0397329330444,0
330,0.5 , 0.0799219608307,0
330,0.5 , 0.121265888214,0
Average time : 330,0.5 , 0.040421962738
340,0.5 , 0.0419290065765,0
340,0.5 , 0.0825579166412,0
340,0.5 , 0.123997926712,0
Average time : 340,0.5 , 0.0413326422373
350,0.5 , 0.0444331169128,0
350,0.5 , 0.0898470878601,0
350,0.5 , 0.133332967758,0
Average time : 350,0.5 , 0.0444443225861
360,0.5 , 0.0455539226532,0
360,0.5 , 0.0918710231781,0
